Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
BlocPower,https://www.crunchbase.com/organization/blocpower,Active,For Profit,Private,Less than $1M,51-100,"Brooklyn, New York, United States",Venture - Series Unknown,111423153,USD,111423153,"BlocPower is an energy technology startup that develops healthier, greener, and smarter buildings. It leverages advanced technologies, innovative electrification equipment, and structured finance to provide green heating and cooling to urban buildings. The company also connects government agencies, utilities, building owners, and smart equipment providers to identify unhealthy, energy-wasting buildings to retrofit. Its propriety machine learning platform then determines which retrofits will produce the most energy savings at scale and uses the cloud and IoT to gather data and remotely monitor energy consumption. Since its founding, BlocPower has completed energy projects in nearly 1,000 buildings and delivers results ahead of schedule and under budget. It utilizes its proprietary software for analysis, leasing, project management, and monitoring of urban clean energy projects and its customers are saving 20-40% on their energy bills each year. The company is backed by top investors, including Kapor Capital, Andreessen Horowitz, American Family Insurance Institute for Corporate and Social Impact, AccelR8, The Goldman Sachs Urban Investment Group, Elemental Excelerator, CityRock Venture Partners, The Schmidt Family Foundation, and Salesforce Ventures. Donnel Baird and Morris Cox co-founded the company in Brooklyn, New York in 2014.","Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Management, Smart Cities","BlocPower is an energy technology startup that develops healthier, greener, and smarter cities.",2014-01-01,year,http://www.blocpower.io
Infinite Composites,https://www.crunchbase.com/organization/infinite-composites-technologies,Active,For Profit,Private,$1M to $10M,11-50,"Tulsa, Oklahoma, United States",Seed,3939058,USD,3939058,"Infinite Composites develops and manufactures advanced composite pressure vessels and structures. ICT was founded in 2010 to revolutionize composite pressure vessel technology, with the ultimate goal of enabling widespread adoption of composite pressure vessels. Our vision is to make the infinite Composite Pressure Vessel (iCPV) the key enabling technology for space exploration and sustainable transport.Infinite Composites Technologies aims to practice continuous improvement to ensure we deliver products that exceed customer and industry quality standards and deliver products free of fault or defect.","Aerospace, Energy, Government, Industrial Manufacturing, Manufacturing, Oil and Gas, Satellite Communication, Space Travel, Transportation","ICT designs, develops, and manufactures advanced gas storage systems for aerospace, industrial gas and transportation applications.",2010-10-01,day,http://www.infinitecomposites.com/
GHGSat,https://www.crunchbase.com/organization/ghgsat,Active,For Profit,Private,$1M to $10M,51-100,"Montréal, Quebec, Canada",Grant,103538089,USD,103538089,"GHGSat’s mission is to become the global reference for remote sensing of greenhouse gas (GHG), air quality gas, and other trace gas emissions from any source in the world. In June 2016, GHGSat launched the world’s first high-resolution satellite capable of measuring greenhouse gas (CO2 & CH4) emissions from any industrial facility in the world. GHGSat is using this unique satellite and its patented technology to provide greenhouse gas emissions monitoring data and services globally,with better accuracy and at at a fraction of the cost of comparable alternatives. Owners of industrial facilities are now able to monitor all of their facilities, local or remote, anywhere in the world, with a common technology, in near-real-time. Significantly improved emissions information is enabling industries to better measure, control, and ultimately reduce emissions of GHGs. Building on lessons learned from its demonstration satellite, GHGSat launched its second satellite in Sept 2020 and a third is scheduled for Q1'21. Three more satellites are under construction for launch in early 2022.  GHGSat also uses the same instrument technology from its satellites on aircraft, to provide complementary resolution and performance for customers in shale plays.  GHGSat’s technology can also be used to monitor air quality gases, as well as other trace gases, in the atmosphere. Business cases are being developed for key markets, such as measuring SOx from ships.","Aerospace, Environmental Consulting, Oil and Gas",GHGSat’s mission is to become the global reference for remote sensing of greenhouse gas,2011-01-01,year,http://www.ghgsat.com/
Premier Energies,https://www.crunchbase.com/organization/premier-energies,Active,For Profit,Private,,501-1000,"Hyderabad, Andhra Pradesh, India",Debt Financing,3000000000,INR,39879678,Premier Energies is a Solar PV Cells & Module manufacturing company providing end-to-end solar power solutions.,"Manufacturing, Renewable Energy, Solar",Premier Energies is a Solar PV Cells & Module manufacturing company providing end-to-end solar power solutions.,1995-01-01,year,https://premierenergies.com/
EcoFlow Tech,https://www.crunchbase.com/organization/ecoflow-tech,Active,For Profit,Private,$100M to $500M,251-500,"San Francisco, California, United States",Product Crowdfunding,114395255,USD,114395255,"EcoFlow is a revolutionary mobile power company that is reinventing the way the world accesses energy. As makers of industry-first, smart and powerful mobile power products, EcoFlow’s mission is to harness new technologies to foster inclusion and help raise standards of living in areas of the world where power shortages stunt economic growth and development.","Clean Energy, Consumer Electronics, Electronics, Energy, Energy Efficiency, Solar","EcoFlow provides designs, develops and manufactures eco-friendly and affordable portable power stations for personal and professional use.",2016-11-01,month,https://ecoflow.com/
GridPoint,https://www.crunchbase.com/organization/gridpoint,Active,For Profit,Private,$10M to $50M,101-250,"Arlington, Virginia, United States",Private Equity,382588886,USD,382588886,"GridPoint is an innovator in comprehensive, data-driven energy management solutions (EMS) that leverage the power of real-time data collection, big data analytics and cloud computing to maximize energy savings, operational efficiency, capital utilization and sustainability benefits.  GridPoint’s integrated energy management portfolio of asset-level submetering and monitoring, intelligent control, energy management software and professional services can generate 10-30% energy savings and an 18-36 month payback.   GridPoint solutions are deployed at over 12,000 sites with over 64 billion customer data points collected to date, and 100 million added daily. Customers include:  7 of the top 20 quick serve restaurants, 4 of the top 10 casual dining restaurants, 3 of 20 convenience growth chains, 7 of 10 top 10 retailers by total sales, leading commercial and industrial enterprises and major government and educational institutions.","Analytics, Energy Management, Software, Sustainability","GridPoint is a clean tech company delivering a comprehensive suite of hardware and software, and other related services.",2003-01-01,year,http://gridpoint.com
Our Next Energy,https://www.crunchbase.com/organization/our-next-energy,Active,For Profit,Private,,51-100,"Novi, Michigan, United States",Series A,90000000,USD,90000000,"Our Next Energy is a developer of energy storage technology to expand access to sustainable power. Our Next Energy focuses on safer battery chemistries that use sustainable raw materials while creating a reliable, low cost and conflict-free supply chain.","Battery, Electronics, Energy, Energy Storage, Renewable Energy",Our Next Energy is a developer of energy storage technology to expand access to sustainable power.,2020-07-01,month,https://one.ai
Genomatica,https://www.crunchbase.com/organization/genomatica,Active,For Profit,Private,$10M to $50M,51-100,"San Diego, California, United States",Corporate Round,386624621,USD,386624621,"Genomatica develops biobased process technologies that enable a better way to produce widely-used chemicals, from alternative feedstocks, with better economics, sustainability, and performance. Genomatica has earned widespread acclaim for its technology; has commercialized processes for the chemical butanediol (for biodegradable plastics and apparel) and for butylene glycol (cosmetics and personal care), and is working on bio-nylon. Awards include the Kirkpatrick Award, for “the most noteworthy chemical engineering technology commercialized in the world” and the ICIS Innovation Award for its Brontide(TM) butylene glycol.","Chemical Engineering, CleanTech, Manufacturing, Renewable Energy",Genomatica manufactures sustainable chemicals from renewable feedstocks.,2000-01-01,year,http://www.genomatica.com
Everfuel,https://www.crunchbase.com/organization/everfuel,Active,For Profit,Private,$1M to $10M,1-10,"Herning, Midtjylland, Denmark",Grant,7702889,USD,7702889,Everfuel operates as a green fuel company. Everfuel provides the missing link between renewable energy and green transportation. Everfuel is making hydrogen mobility for heavy duty vehicles commercially available in Europe.,"Energy, Environmental Consulting",Everfuel operates as a green fuel company.,2019-01-01,year,http://www.everfuel.com/
GaN Systems,https://www.crunchbase.com/organization/gan-systems,Active,For Profit,Private,$10M to $50M,51-100,"Toronto, Ontario, Canada",Venture - Series Unknown,170000000,USD,170000000,"GaN Systems is introducing a range of Gallium Nitride high power switching diodes and transistors for cleantech power conversion applications. Featuring exceptionally low on-resistance, near-zero forward voltage and negligible charge storage, these devices will enable switching efficiencies well in excess of current silicon based solutions and offer dramatic benefits to switching power supply designs, inverters, hybrid and electric vehicles, battery management and power factor correction . Based on licensed process IP developed in Canada and local foundry facilities, together with breakthrough GaN Systems device design IP, these gallium nitride devices will use low cost custom silicon base wafers. For the first time compound semiconductor devices will be cost competitive with silicon devices, while offering greatly superior performance.","Electronics, Energy, Semiconductor",GaN Systems offers a range of Gallium Nitride high power switching diodes and transistors for clean tech power conversion applications.,2008-01-01,year,http://www.gansystems.com
Beyond Limits,https://www.crunchbase.com/organization/beyond-limits,Active,For Profit,Private,$50M to $100M,101-250,"Glendale, California, United States",Series C,158500000,USD,158500000,"Beyond Limits is an Industrial and Enterprise-grade AI technology company that covers the full range of Artificial Intelligence, purpose-built for the most demanding sectors, including energy, utilities, and healthcare (as well as finance).   Beyond traditional artificial intelligence, Beyond Limits has developed powerful Cognitive AI that unifies human knowledge with machine learning techniques.  Its technology provides decision makers with efficient, reliable guidance and clear, understandable recommendations for everyday operational challenges to the most complex, mission-critical situations. Customers use Beyond Limits AI to drastically boost operational insights, improve operating conditions, enhance performance at every level, and ultimately increase profits as a result.","Artificial Intelligence, Energy, Health Care, Industrial, Machine Learning","Beyond Limits is an industrial and enterprise-grade AI technology company that focuses on energy, utilities and healthcare.",2014-01-01,month,http://www.beyond.ai/
tado°,https://www.crunchbase.com/organization/tado,Active,For Profit,Private,$10M to $50M,101-250,"Munich, Bayern, Germany",Corporate Round,157482651,USD,157482651,"Tado° is The Heating App for private homes and small businesses. It adjusts to the residents' behavior in real time and also takes current weather forecasts and building characteristics into account. tado° GmbH is a Munich based Tech Startup bringing Internet of Things into the Cleantech Market. It was founded by Christian Deilmann, Johannes Schwarz, Valentin Sawadski and Leopold von Bismarck in 2011. A team of qualified young professionals has been working on the development of tado° for approximately two years in Munich.","Clean Energy, Smart Building, Smart Home",Tado° offers smart thermostats and apps that adjusts to the real-time behavior of residents in private homes and small businesses.,2011-09-01,day,https://www.tado.com
Lucid Energy Group,https://www.crunchbase.com/organization/lucid-energy-group,Active,For Profit,Private,$10M to $50M,101-250,"Dallas, Texas, United States",Private Equity,1460000000,USD,1460000000,"LUCID ENERGY GROUP is a midstream services company providing gathering, treating, processing, compression and transportation services to producers working in the Permian Basin. LUCID has developed and is continuing to expand its greenfield gathering and processing facilities in the high-growth production areas of the Wolfcamp and Clines shales. LUCID was formed in 2011 with equity commitments from EnCap Flatrock Midstream of San Antonio.  Headquartered in Dallas, LUCID is focusing its operations on the Eastern Shelf region of the Permian Basin and has field offices near its operating assets in Sterling City and San Angelo. The company's ability to create unique solutions distinguishes LUCID and puts the company in a strong position to meet the accelerating demand for midstream infrastructure in the region.  At LUCID, they understand how important service is to our customers. They hold fast to their vision and creativity. They believe in communicating clearly so that every deal is easily understood. They are perceptive and in the moment with our customers while we work hard to develop unconventional solutions and partner with them for success. Their customers trust them because there are no surprises. At LUCID, they are Vision At Work.","Energy, Infrastructure, Oil and Gas, Renewable Energy",Lucid Energy Group is a midstream company that provides oil and natural gas producers with a range of midstream services.,2011-01-01,year,http://www.lucid-energy.com
ROOMBUS,https://www.crunchbase.com/organization/roombus,Active,For Profit,Private,,11-50,"Los Angeles, California, United States",Pre-Seed,708000,USD,708000,,"Clean Energy, Hardware, Industrial Design, Internet of Things, Smart Home",Building smarter cities - starting with fully autonomous and modular smart houses.,2019-06-01,month,https://www.roombus.com
SHYFT Power Solutions,https://www.crunchbase.com/organization/shyft-power-solutions,Active,For Profit,Private,Less than $1M,1-10,"Oakland, California, United States",Seed,4200000,USD,4200000,"SHYFT builds industrial-grade IoT and integrated software to connect and intelligently manage distributed energy resources (DERs) in markets that struggle with resiliency. SHYFT is pioneering the development of integrated decentralized power systems in emerging markets like Nigeria, leapfrogging over traditional central infrastructure and enabling DERs to scale and support existing but unreliable grids.","Big Data, Energy, Energy Management, Renewable Energy, Software",SHYFT Power Solutions builds  IoT and Integrated Software to connect and intelligently manage distributed energy resources,2016-08-06,day,http://www.shyftpower.com
MycoWorks,https://www.crunchbase.com/organization/mycoworks,Active,For Profit,Private,$10M to $50M,101-250,"Emeryville, California, United States",Series C,187000000,USD,187000000,"MycoWorks is engaged in the creation of sustainable design solutions with advanced biomaterials. The company’s proprietary custom-engineered material is sustainable, versatile, and animal-free, and feels and performs like leather.  Their first product, Reishi, and the proprietary platform to make it, Fine Mycelium, are a groundbreaking approach to biomaterials that delivers unparalleled versatility and unmatched performance in strength, durability, and hand feel. The perfect intersection of art and science, Reishi is the only natural material that performs like cowhide leather and is engineered to meet the highest quality standards. MycoWorks was founded by Sophia Wang and Philip Ross in 2013 and is based in Emeryville, California.","Biotechnology, Building Material, Manufacturing, Product Research, Renewable Energy, Sustainability",MycoWorks is a biotech company that delivers commercially viable non-plastic and non-animal materials to the market.,2013-01-01,year,http://www.mycoworks.com
75F,https://www.crunchbase.com/organization/75-fahrenheit,Active,For Profit,Private,$1M to $10M,101-250,"Burnsville, Minnesota, United States",Series A,29855000,USD,29855000,"75F is a U.S.-based building intelligence company making smart building automation affordable and easy to deploy. 75F leverages IoT, Cloud Computing and Machine Learning for data-driven, proactive building intelligence and controls for HVAC, lighting and energy optimization.  75F's mission is to improve occupant productivity through enhanced comfort and indoor air quality – while saving energy and the environment.  75F is currently headquartered in Burnsville, Minnesota.","Artificial Intelligence, Electronics, Energy, Energy Efficiency, Facility Management, Internet of Things, Property Management, Smart Building, Software","75F is a predictive and proactive IoT-based building automation system that addresses HVAC, lighting, and equipment control needs.",2012-01-01,day,http://75f.io
Svea Solar,https://www.crunchbase.com/organization/svea-solar-ab,Active,For Profit,Private,$10M to $50M,101-250,"Sollentuna, Stockholms Lan, Sweden",Series B,118464376,USD,118464376,"In short, Svea Solar is digitalising energy.  Svea supplies green energy and installs solar systems, car chargers, and batteries -- all of these devices can be connected to the Svea App where you can get an overview of everything working together. The app saves the homeowner money on their monthly energy through it's optimisation features. For example, reading electricity prices 24 hours in advance and charging your car only at the cheapest times or selling your excess solar energy back to the grid when electricity prices are the highest. The goal has always been to make renewable energy simple, affordable and a good investment for the customer, all while reducing CO2 emissions.","Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Management, Energy Storage, Internet of Things, Renewable Energy, Solar",Svea Solar is digitalising energy.,2014-01-01,year,http://www.sveasolar.com/
CleanMax,https://www.crunchbase.com/organization/cleanmax-solar,Active,For Profit,Private,$100M to $500M,101-250,"Mumbai, Maharashtra, India",Venture - Series Unknown,188226426,USD,188226426,"CleanMax is now the largest developer of onsite and off-site solar solutions for corporate customers in India, on a build-own-operate basis. We develop solar projects on a turnkey basis, covering includes construction, financing and O&M in our scope, and providing power on a per-kWh basis under long-term Power Purchase Agreements, at rates cheaper than grid tariffs.","Energy, Environmental Consulting, Renewable Energy, Solar",CleanMax is an Indian rooftop solar developer.,2011-01-01,year,https://www.cleanmax.com
Ecolibrium,https://www.crunchbase.com/organization/ecolibrium,Active,For Profit,Private,$1M to $10M,51-100,"Ahmedabad, Gujarat, India",Seed,9200000,USD,9200000,"Ecolibrium Energy is transforming the way the world uses energy. We help commercial, institutional and industrial organizations use energy more intelligently, pay less for it, and generate cash flow that benefits the bottom line. Our technology-enabled solutions help meet the needs of utilities/grid operators that deliver energy and are responsible for maintaining the real-time balance between supply and demand.","Energy, Hardware, Renewable Energy","Ecolibrium helps commercial, institutional and industrial organizations use energy more intelligently, and pay less for it.",2009-01-01,year,http://ecolibriumenergy.com
Kpler,https://www.crunchbase.com/organization/kpler-sas,Active,For Profit,Private,$10M to $50M,101-250,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Private Equity,185000000,EUR,201560844,"Kpler is a fast-growing data and analytics company on a mission to facilitate sustainable and efficient trade, to meet the changing needs of our world. From numerous disparate and unstructured sources, Kpler creates data and analytics that bring transparency in dynamic markets characterised by opaque and incomplete information, such as commodity markets. Kpler delivers its unique offering through technology solutions built in an agile and inventive way, enabling market professionals to make informed and timely trading decisions. Headquartered in Brussels, Kpler employs 180 people across the world. In 2021, Kpler acquired US data & analytics firm ClipperData.","Analytics, Big Data, Finance, Image Recognition, Information Technology, Oil and Gas, Predictive Analytics, Software",Kpler is a fast-growing data & analytics firm on a mission to facilitate efficient and sustainable trade.,2014-03-01,day,http://www.kpler.com
Redaptive,https://www.crunchbase.com/organization/redaptive-inc,Active,For Profit,Private,$10M to $50M,101-250,"San Francisco, California, United States",Series C,196499951,USD,196499951,"Redaptive makes buildings more efficient one saved kilowatt-hour at a time. They break down the barriers to portfolio-wide energy efficiency deployments through its Efficiency-as-a-Service (EaaS) platform – empowering companies to optimize their real estate portfolios and save millions on their energy bills. The company's EaaS platform builds the foundation for future investments in both resource efficiency and smart building innovation. In 2017, Redaptive’s customers enjoyed net savings of over $20 million on their utility bills. Redaptive transforms the way buildings consume resources, making them better for people, the planet, and the bottom-line. The company's proven and innovative saved energy service removes these barriers and empowers organizations to accelerate efficiency upgrades across their global real estate portfolios. It takes a data-driven approach to develop portfolio scale energy and efficiency upgrade programs including HVAC, LED Lighting among others to cut utility costs, delivering savings without risk or upfront capital. Founded in 2013 and is Headquartered in San Francisco, California, their creative team of business and technology experts is at the core of its success in delivering a groundbreaking platform to accelerate energy efficiency adoption.","Energy, Energy Efficiency, Real Estate, Renewable Energy, SaaS, Smart Building",Redaptive is an Efficiency-as-a-Service tool for commercial and industrial customers.,2013-01-01,year,http://redaptiveinc.com
Carbon Lighthouse,https://www.crunchbase.com/organization/carbon-lighthouse,Active,For Profit,Private,$10M to $50M,101-250,"San Francisco, California, United States",Series A,67100000,USD,67100000,"Carbon Lighthouse is a technology company delivering easy building decarbonization for commercial real estate (CRE) owners. With more than a decade of deep expertise in eliminating carbon emissions from the built environment, its unique Efficiency Production platform and CLUES® AI software capture new climate, financial and operational value for owners that need to reach decarbonization goals. Since 2010, Carbon Lighthouse has enabled clients including Goldman Sachs, The Carlyle Group, L&B, AEW and Ohana to increase NOI of $0.20 - $0.50 per square foot at a cost of $0.07 per square foot while achieving science-based ESG objectives. To date, the company has delivered +$250M in client value and eliminated more than 584,000 tons of carbon emissions. For more information visit: www.carbonlighthouse.com.","Commercial Real Estate, Energy Efficiency, Hospitality, SaaS, Software, Solar, Sustainability",Delivering easy building decarbonization for commercial real estate owners,2010-01-01,year,http://www.carbonlighthouse.com/
Virridy,https://www.crunchbase.com/organization/sweetsense,Active,For Profit,Private,Less than $1M,1-10,"Portland, Oregon, United States",Series A,9897866,USD,9897866,"Virridy provides low-cost remote monitoring solutions for water, energy, and environmental projects in the global development setting. Their mission is to improve transparency, accountability, and cost-effectiveness of remote water, energy, and infrastructure projects to improve health and quality of life.","Energy, Environmental Consulting, Environmental Engineering, Health Care, Water","Virridy provides low-cost remote monitoring solutions for water, energy, and environmental projects in the global development setting.",2012-01-01,year,https://virridy.com/
XONA Systems,https://www.crunchbase.com/organization/xona-systems,Active,For Profit,Private,Less than $1M,11-50,"Annapolis, Maryland, United States",Series A,9200000,USD,9200000,"XONA enables frictionless user access that’s purpose-built for operational technology (OT) and other critical infrastructure systems. Technology agnostic and configured in minutes, XONA’s proprietary protocol isolation and zero-trust architecture immediately eliminates common attack vectors, while giving authorized users seamless and secure control of operational technology from any location or device. With integrated MFA, user-to-asset access controls, user session analytics, and automatic video recording, XONA is the single, secure portal that connects the cyber-physical world and enables critical operations to happen from anywhere with total confidence and trust.","Cyber Security, Industrial Automation, Information Technology, Internet of Things, Oil and Gas, Renewable Energy, Software",XONA is the frictionless user access platform purpose-built for critical infrastructure.,2017-01-01,year,http://www.xonasystems.com
Tessol,https://www.crunchbase.com/organization/tessol,Active,For Profit,Private,$1M to $10M,11-50,"Mumbai, Maharashtra, India",Venture - Series Unknown,961810,USD,961810,,"Energy Efficiency, Logistics, Supply Chain Management",Tessol  is a energy efficient and fuel saving refrigeration technologies for cold chain storage and logistics company.,2013-01-01,year,https://www.tessol.in/
Ambri,https://www.crunchbase.com/organization/ambri,Active,For Profit,Private,$10M to $50M,11-50,"Marlborough, Massachusetts, United States",Series E,211440642,USD,211440642,"Ambri, Inc. (formerly Liquid Metal Battery Corporation (LMBC)) is an early-stage company working to develop and commercialize a new battery technology that will revolutionize grid-scale power storage. Their battery has the potential to cost significantly less than existing batteries.  By decoupling power supply and power demand, the liquid metal battery will be a major enabler of the widespread use of sustainable energy sources and the development of more efficient power systems. Ambri was founded in 2010 and is headquartered in Marlborough, Massachusetts, United States.","Energy, Energy Storage, Manufacturing, Oil and Gas, Renewable Energy, Solar",Ambri is an early-stage company focused on developing a transformative technology.,2010-01-01,year,http://www.ambri.com
Natron Energy,https://www.crunchbase.com/organization/alveo-energy,Active,For Profit,Private,$1M to $10M,11-50,"Santa Clara, California, United States",Series D,50136176,USD,50136176,"Natron Energy is an energy storage company that develops a high power, long cycle life, and low-cost battery technology. Natron’s battery products are based on a unique Prussian blue chemistry and can integrate into a wide variety of energy storage applications ranging from critical backup power systems to EV fast charging and behind-the-meter applications.","Battery, CleanTech, Energy, Energy Storage, Renewable Energy","Natron Energy is an energy storage company that develops a high power, long cycle life, and low-cost battery technology.",2012-01-01,year,http://www.natron.energy/
Validere,https://www.crunchbase.com/organization/validere-technologies,Active,For Profit,Private,Less than $1M,51-100,"Calgary, Alberta, Canada",Series B,69261264,USD,69261264,"Validere enables industry participants to optimize operational and trading decisions through a real-time view of their product quality data.  The company delivers advanced quality intelligence for O&G companies to know true product quality in real-time and optimize logistics and trading. Active deployments across leading producers and midstream organizations are yielding significant cost savings and revenue enhancements. Validere was founded by Harvard graduate and award-winning scientist Dr. Ian Burgess and entrepreneur Nouman Ahmad, who both recognized the enormous opportunity to bring data transparency to oil and gas.","Advanced Materials, Artificial Intelligence, Energy, Hardware, Internet of Things, Oil and Gas, Software",Validere builds software and hardware solutions that improve visibility and trust in oil testing.,2015-01-01,year,http://validere.com/
Sanergy,https://www.crunchbase.com/organization/sanergy,Active,For Profit,Private,Less than $1M,101-250,"Nairobi, Nairobi Area, Kenya",Venture - Series Unknown,32663407,USD,32663407,"Sanergy makes hygienic sanitation affordable and accessible in urban slums for everyone starting with Nairobi, Kenya. It promotes the fundamental human right to sanitation in the slums of Kenya by increasing access to and usage of hygienic sanitation facilities. Sanergy creates an efficient, equitable, and sustainable sanitation cycle by building a dense network of small-scale sanitation centers across the slums, a low-cost containerized waste collection infrastructure, and converting this waste at their central processing facility into useful byproducts, such as organic fertilizer and renewable energy.","Clean Energy, Communities, Environmental Consulting, Renewable Energy","Sanergy generates fertilizer and other by-products through providing safe, affordable sanitation in the slums.",2010-01-01,year,http://www.sanergy.com/
Cleanwatts,https://www.crunchbase.com/organization/cleanwatts,Active,For Profit,Private,,51-100,"Coimbra, Coimbra, Portugal",Series A,16100000,EUR,17165247,"Designed to address the complex multilayered needs of local energy communities, Cleanwatts combines the benefits of real time energy efficiency with the ability to activate a wide range of local assets (any equipment that generates, consumes, or stores energy) to maximize the value of energy produced, consumed, and stored within a community thereby delivering clean energy at well below the price of conventional electricity. Cleanwatts OS is modular by design, highly adaptable to different legal frameworks and the specific needs of typical local participants, including commercial real estate and industrial enterprises, single family homes, apartment blocks, municipal buildings, universities, schools, and hospitals. Critically, the platform also carries a Virtual Power Plant (VPP) user interface specifically designed to aggregate a wide range of energy loads to enable market balancing services in support of local grid operators. In this respect, the Cleanwatts approach to serving energy communities is a game changer, providing a simple and flexible solution with intelligent controls designed to process and optimize all local needs in real time, from behind the meter applications to front of the meter local market requirements.","Clean Energy, CleanTech, SaaS, Software",Operating System for Energy Communities - SaaS,2020-07-01,day,https://www.cleanwatts.energy/
Ultraviolette Automotive,https://www.crunchbase.com/organization/ultraviolette-automotive-pvt-ltd,Active,For Profit,Private,$1M to $10M,11-50,"Bangalore, Karnataka, India",Series C,19819231,USD,19819231,"Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure. The startup develops products and systems that reflect a progressive ideology, as well as builds an electric vehicle ecosystem for this urban environment. They synthesize design and technology to create new dimensions in advanced engineering and seamless user experiences. Ultraviolette Automotive new product F77, an urban sports/commuter bike that allows both seasoned riders, as well as, enthusiasts to do more with just one motorcycle. It goes beyond daily commuting to actually deliver high levels of performance and unparalleled user experience across the usage and ownership experience cycles. The startup was founded in 2015 and is headquartered in Bangalore, Karnataka, India.","Automotive, Electric Vehicle, Energy, Energy Storage",Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2014-12-01,month,http://www.ultraviolette.com/
ACCIONA,https://www.crunchbase.com/organization/acciona,Active,For Profit,Private,$10B+,10001+,"Alcobendas, Madrid, Spain",Secondary Market,862000000,EUR,1053998200,"ACCIONA is one of the foremost Spanish business corporations, leader in the development and management of infrastructure, renewable energy, water and services. Listed on the selective Ibex-35 stock exchange index, it is a benchmark for the market. The Company was set up over a century ago and is made up of more than 30,000 employees and has a presence in more than 30 countries on five continents. See more at: http://www.acciona.com","Energy, Infrastructure, Renewable Energy, Service Industry, Water, Water Purification","ACCIONA is the development and management of infrastructure, renewable energy, water, and services.",1997-03-13,day,https://www.acciona.com
Ecowatt Energy,https://www.crunchbase.com/organization/ecowatt-energy,Active,For Profit,Private,,51-100,"Dublin, Dublin, Ireland",Initial Coin Offering,111475000,USD,111475000,"EcoWatt is a next generation energy company, covering the whole energy chain from development, construction to operation and management of renewable energy plants and combining green energy with blockchain tokenization. The EcoWatt Token is the first Governance Token backed by income generating green assets and reforestation dedicated to increasing Token value and delivering social impact.","Blockchain, Energy, Renewable Energy","EcoWatt is a Web3 company, dedicated to tokenizing carbon credits from renewable energy, clean-tech and reforestation projects.",2020-01-27,day,https://ecowatt.io
ION Storage Systems,https://www.crunchbase.com/organization/ion-storage-systems,Active,For Profit,Private,$1M to $10M,11-50,"Beltsville, Maryland, United States",Series A,52500000,USD,52500000,"Ion Storage Systems is focused on developing the most energy dense, safest batteries that can be deployed in any environment. Breakthroughs in solid state battery technology have led to a battery that meets the mission critical needs for the defense and aerospace industries; and safer more efficient for consumer electronics and electric vehicles.","Aerospace, Battery, Consumer Electronics, Electric Vehicle, Electronics, Energy, Energy Storage, Manufacturing, Medical Device, Military",ION Storage Systems is an energy startup developing Solid State Lithium Metal Batteries.,2015-01-01,year,https://ionstoragesystems.com/
IUNU,https://www.crunchbase.com/organization/iunu,Active,For Profit,Private,$1M to $10M,11-50,"Seattle, Washington, United States",Series B,45706954,USD,45706954,"IUNU is an industrial computer vision company that connects plants, facilities, and people through a single interface. Luna turns commercial greenhouses into precise, predictable, demand-based manufacturers. Luna is an AI born in the heart of Seattle; trained in Silicon Valley and the greenhouses of Skagit Valley; accessible from everywhere. Founded in 2013, iUNU is an industrial computer vision company headquartered in Seattle, with offices in San Francisco and San Diego.","Agriculture, Artificial Intelligence, Computer, Industrial, Renewable Energy","IUNU is an industrial computer vision company that connects plants, facilities, and people through a single interface.",2013-01-01,year,https://iunu.com/
Atlis Motor Vehicles,https://www.crunchbase.com/organization/atlis-motor-vehicles,Active,For Profit,Private,Less than $1M,11-50,"Mesa, Arizona, United States",Equity Crowdfunding,35651759,USD,35651759,"Atlis Motor Vehicles designs and develops 100% battery-electric trucks for consumer and commercial markets. The company's core focus is on the development of technology to move partners from gas and diesel vehicles to electric by providing solutions that require little compromise. Atlis Motor Vehicles was founded in 2016 and is based in Mesa, Arizona.","Automotive, Autonomous Vehicles, Electric Vehicle, Energy Storage",Atlis Motor Vehicles is a mobility technology company that designs and develops battery electric trucks and charging stations.,2016-11-09,day,https://www.atlismotorvehicles.com
Virtual Facility,https://www.crunchbase.com/organization/virtual-facility,Active,For Profit,Private,$1M to $10M,11-50,"New York, New York, United States",Seed,9000000,USD,9000000,"Virtual Facility offers institutional customers an ML powered building intelligence solution to better understand, control, predict, and reduce operational expenditures through better work. Our SaaS offering leverages today’s latest technology stacks and ML to drive analytics that provide real-time engineering and operations management support to customers such as hospitals, universities and large scale commercial facilities. The modular suite of products empower facility managers and their staff with automated intelligence to keep operations as lean as possible.","Artificial Intelligence, Energy Management, Facility Management, Real Estate, SaaS, Smart Building",Building Intelligence Software Solutions,2018-01-01,year,https://www.virtualfacility.ai
